,AF,CF,MF,ctrl,max_s
0,False,False,False,False,0.2910642836603813
1,True,True,True,False,1.35700747988438
2,True,True,True,False,1.3925821231250903
3,False,True,True,False,1.2987702907940724
4,False,True,True,False,1.3245309600192754
5,False,False,False,False,0.2833558362782739
6,True,False,False,False,0.687088120471798
7,False,False,False,False,0.1450723522300849
8,False,False,True,False,0.4897336924142693
9,True,False,False,False,0.5014100568842162
10,False,False,False,False,0.0157455696844133
11,True,False,True,False,1.0463454811511474
12,False,False,False,False,0.4090600138739939
13,False,False,False,False,0.0132209228131094
14,False,False,False,False,0.1306380870016275
15,False,False,False,False,0.0829507853698439
16,True,False,False,False,0.6032781726661159
17,False,False,False,False,0.0429260985479227
18,True,True,True,False,0.9408002910267076
19,False,False,False,False,0.0456590309482801
20,True,False,False,False,0.4672260247492849
21,False,False,False,False,0.4230725781091679
22,False,True,True,False,1.1805181522845292
23,False,False,False,False,0.0649190085753724
24,True,True,True,False,1.2612108048368855
25,False,False,False,False,0.0206850715721313
26,False,False,False,False,0.0038530128163176
27,True,True,True,False,1.044692869524849
28,False,True,False,False,1.1781725492566597
29,False,False,False,False,0.0071364430908963
30,True,True,True,False,1.2375475540674763
31,True,False,False,False,0.9945428109228782
32,False,False,False,False,0.0815003593684743
33,False,False,False,False,0.2681036797467495
34,False,False,True,False,0.4190600624837785
35,False,False,False,False,0.1214313659339869
36,False,False,False,False,0.0538297162801082
37,False,False,False,False,0.0405242693045628
38,True,True,True,False,1.497000662013796
39,False,False,False,False,0.0009880305180366
40,True,True,True,False,1.5205258240325483
41,False,False,False,False,-0.0095909960361264
42,True,True,True,False,1.2940774776755046
43,True,False,True,False,0.4728232196856067
44,False,False,False,False,0.0757590337070071
45,True,True,True,False,1.1277822868808132
46,True,True,True,False,1.23799273302249
47,True,True,True,False,1.4296815097769038
48,True,True,True,False,1.3986693383204651
49,True,True,True,False,0.8115900506336272
50,True,True,True,False,1.464469157811191
51,True,True,True,False,1.3739844786509725
52,True,True,True,False,1.4436143951451386
53,True,True,True,False,1.371458083013582
54,True,True,True,False,1.263944173063007
55,True,True,True,False,1.457748802386206
56,True,True,True,False,1.4747613089443248
57,True,True,True,False,1.4380429716414236
58,True,True,True,False,1.4794692216546883
59,False,False,False,False,0.1700798511328324
60,False,False,False,False,0.0231163172578195
61,False,False,False,False,0.0488229240720021
62,False,False,False,False,0.0361414056845297
63,False,True,False,False,1.062169009624743
64,False,False,False,False,0.0817821481537276
65,False,False,False,False,0.0269918078037742
66,True,True,True,False,1.474284763765509
67,False,False,False,False,-0.0179744255344701
68,False,True,False,False,1.0183366684708346
69,False,False,False,False,0.1858127609186304
70,True,True,True,False,1.480572447466954
71,False,False,True,False,1.2286324922630416
72,False,False,True,False,1.437044799257919
73,False,False,True,False,1.058816165438894
74,False,False,True,False,1.0362613772705775
75,True,True,True,False,1.469228796342105
76,True,True,True,False,1.0830821145213332
77,False,False,False,False,0.0688977333749791
78,False,False,False,False,0.0185818585204911
79,False,False,False,False,0.0286907993905277
80,False,False,True,False,0.91215655407769
81,True,False,True,False,1.4645884952801378
82,True,True,True,False,1.4462564295385878
83,False,False,True,False,1.4620399655915537
84,False,False,True,False,0.3892621655637059
85,True,True,False,False,1.436927675272776
86,True,True,True,False,1.4278258022174954
87,False,False,False,False,0.2986346389128793
88,True,True,True,False,1.412094880315896
89,True,True,True,False,1.4407640209965835
90,True,True,True,False,1.4674084125189484
91,True,True,True,False,1.357032397941624
92,True,True,True,False,1.3716222080460845
93,True,True,True,False,1.4232489463050169
94,True,True,True,False,1.3906585880861635
95,True,True,True,False,1.309870479436657
96,True,True,True,False,1.369156282599181
97,True,True,True,False,1.4534921961483591
98,True,True,True,False,1.331223060472995
99,False,False,False,False,0.0145938520486967
100,True,True,True,False,1.4069956147554088
101,True,True,True,False,1.213323647456225
102,True,True,True,False,1.3554053217438784
103,True,True,True,False,1.433933108849395
104,True,True,True,False,1.356164275007675
105,False,False,False,False,0.4494124446107824
106,True,True,True,False,1.2784982785449053
107,True,True,False,False,1.1765393050214614
108,True,True,True,False,1.3764540237285263
109,True,True,False,False,1.268318369808034
110,True,True,True,False,1.3861241298825084
111,True,True,True,False,1.4827190767356244
112,True,True,True,False,1.262012530446846
113,True,True,False,False,0.9368146328488078
114,True,True,False,False,1.260773149389912
115,True,True,False,False,1.099116433169386
116,True,True,True,False,1.448880000970956
117,True,True,False,False,1.2071478354438157
118,True,True,True,False,1.510327702904013
119,True,True,True,False,1.4433092903956426
120,True,True,True,False,1.459245343092504
121,True,True,True,False,1.4821308949069318
122,True,True,False,False,1.2932013007977885
123,True,True,True,False,1.4047755715433403
124,True,True,True,False,1.4912730924010205
125,False,False,True,False,1.0247396849059491
126,False,False,False,False,0.2318823396139665
127,False,False,True,False,1.1661580766731556
128,False,False,True,False,0.7897724014373777
129,False,False,False,False,0.0780787099646284
130,False,False,False,False,0.0186175269732261
131,False,False,False,False,-0.0067844466690447
132,True,True,True,False,1.445003352177698
133,True,True,True,False,1.4409139443666854
134,False,False,False,False,0.0595972617928421
135,False,False,False,False,0.0205020803613249
136,False,False,False,False,0.0653800208233014
137,True,True,True,False,1.3523167720371725
138,False,False,False,False,0.0372072580082515
139,True,True,True,False,1.2988758875421036
140,True,True,False,False,1.036833505066396
141,True,True,True,False,0.722368964755165
142,True,True,True,False,1.391211160909018
143,False,False,False,False,0.0326137172987783
144,False,False,False,False,0.1172339639121375
145,False,False,False,False,0.0163436927978016
146,False,False,False,False,0.0471783124120174
147,False,True,False,False,1.1913485469532348
148,False,False,False,False,0.1768608595935288
149,False,False,False,False,0.0363601161546546
150,False,False,False,False,0.3945010081794625
151,True,True,True,False,1.502832748213821
152,True,True,True,False,1.4967871192320588
153,True,True,True,False,1.0020704114420005
154,False,False,False,False,0.4240331071322932
155,False,False,False,False,0.2626690246709115
156,False,False,False,False,-0.0006963081914667
157,False,False,False,False,0.1611447917580548
158,False,False,False,False,0.1254834070553644
159,True,True,False,False,1.2273242898358545
160,True,True,True,False,1.1887080687328626
161,True,True,False,False,1.0235229089769944
162,False,False,False,False,0.0865519955429821
163,False,False,False,False,0.1787925461155838
164,False,False,False,False,0.2245775707972471
165,True,True,True,False,1.5296536452763534
166,True,True,True,False,1.4947500784937642
167,True,True,True,False,1.4366605810521969
168,True,True,True,False,1.4948737273361028
169,False,True,False,False,1.177333427732635
170,False,False,False,False,0.0629743209800481
171,True,True,True,False,1.140246271302784
172,True,True,True,False,1.4886797809755348
173,False,True,False,False,1.3691065805683311
174,True,True,True,False,1.489615801353307
175,True,True,True,False,1.470724199143333
176,True,True,True,False,1.277960665172236
177,True,True,True,False,1.398472935320806
178,True,True,True,False,1.395542667209912
179,True,True,True,False,1.4504999872719375
