,AF,CF,MF,ctrl,max_s
0,False,False,False,False,0.1649747730349592
1,False,True,False,False,0.454400182445991
2,False,False,False,False,0.0405465861039928
3,True,True,False,False,1.4290440000960236
4,True,True,True,False,1.731662404772075
5,True,True,True,False,1.3916696502336572
6,False,False,False,False,0.0524135020959478
7,False,False,False,False,0.3164183365153457
8,False,False,False,False,-0.0558411760097507
9,False,False,False,False,0.1743993632784211
10,False,False,False,False,0.2216498132783588
11,False,True,True,False,0.8983163552630746
12,False,False,False,False,0.084143962735105
13,True,True,True,False,0.9597165506756224
14,True,True,False,False,1.1911568471615874
15,False,False,False,False,-0.0338216296740532
16,True,True,False,False,1.271485677394113
17,False,False,False,False,0.0877702273140823
18,False,False,False,False,0.2190565954638701
19,True,True,True,False,1.4635840398694222
20,False,False,False,False,0.1976439940771235
21,True,True,False,False,1.2792813470725617
22,True,True,True,False,0.9439291443337614
23,False,False,False,False,0.0767902007610721
24,False,False,False,False,0.2589372175854184
25,False,False,False,False,0.4302446819996318
26,True,True,False,False,0.8577134756398368
27,True,True,True,False,1.3927813135767608
28,False,False,False,False,-0.0259997529571315
29,True,True,True,False,1.3011923935759229
30,True,True,False,False,1.127791718085261
31,True,True,True,False,0.9722058623457548
32,False,False,False,False,0.0145054414693953
33,True,True,True,False,1.380482161134561
34,True,True,False,False,0.9426146847067904
35,True,True,True,False,0.7252246988998381
36,False,True,True,False,1.5725006572670792
37,False,False,False,False,0.3382152800544074
38,False,False,False,False,0.0694625675553868
39,True,True,False,False,1.198145135370403
40,False,True,True,False,0.7553231623524234
41,True,True,True,False,1.073935394898832
42,False,True,False,False,0.5115763679299017
43,True,False,False,False,0.8297301218153061
44,False,False,False,False,0.1969164435727344
45,True,True,False,False,0.8188810729296342
46,False,True,False,False,0.3082111522599576
47,True,True,True,False,1.5146068138101416
48,False,True,True,False,1.010392945788532
49,False,False,False,False,0.0297120439397127
50,True,True,False,False,0.7718857650702415
51,True,True,True,False,0.9994976374888992
52,False,True,False,False,1.463152073436973
53,False,True,False,False,1.472898810194636
54,True,True,True,False,1.066192991821478
55,False,True,False,False,0.595900969933401
56,True,True,True,False,1.182610756900797
57,False,False,False,False,0.237362984013739
58,False,False,False,False,0.0208318280024699
59,True,True,True,False,0.8999661958207993
60,False,False,False,False,0.1318532413936282
61,True,True,True,False,0.9538848484182124
62,True,True,True,False,1.4611663009087368
63,False,False,False,False,0.0028611730971498
64,False,False,False,False,0.0799482346755701
65,False,True,False,False,0.5944755498677026
66,False,True,False,False,0.3910510127452674
67,False,False,False,False,-0.0411689225987751
68,False,True,False,False,1.44754690618395
69,False,False,False,False,0.2188628284287202
70,False,True,False,False,0.3811561905387595
71,True,True,True,False,0.999138516713532
72,True,False,False,False,0.8751498148951977
73,False,False,False,False,-0.0178345640619172
74,True,False,False,False,0.6463738923641809
75,False,False,False,False,0.3424352840321198
76,True,False,False,False,0.7720871607374248
77,False,True,False,False,0.3082916553140396
78,False,False,False,False,0.2329738703308174
79,True,False,False,False,1.0612139124783728
80,True,False,False,False,0.9733889435643124
81,True,True,False,False,1.0073858089000316
82,False,True,False,False,0.4873450572383754
83,False,True,True,False,0.7159829543572116
84,True,True,False,False,0.5431313774410798
85,True,True,False,False,0.8174603641152125
86,False,False,False,False,0.0468325880001689
87,False,False,False,False,-0.0179396156217931
88,False,False,False,False,0.0499105413672839
89,False,True,True,False,0.8269255578299339
90,False,False,False,False,0.044008195923702
91,True,True,False,False,1.0327696795745542
92,False,False,False,False,-0.0080174486114246
93,False,False,False,False,0.1999746795021952
94,True,True,True,False,1.936057823146164
95,True,True,True,False,1.5440774573214957
96,True,True,False,False,1.2132699064699093
97,False,False,False,False,0.255550356835183
98,False,False,False,False,0.0394711588017555
99,False,True,False,False,0.6240991658827206
100,False,False,False,False,0.0152670762970812
101,False,True,True,False,0.8361281836585643
102,False,False,False,False,-0.0201376640196197
103,False,False,False,False,0.0066205732818324
104,False,False,False,False,0.2929706450248552
105,False,True,False,False,0.3137427853679043
106,False,False,False,False,0.0515297609412648
107,False,False,False,False,0.3632939681327684
108,False,True,True,False,0.6562298809132179
109,False,True,True,False,0.9089142246388882
110,False,False,False,False,0.2117068817586359
111,False,False,False,False,0.3651877984321653
112,False,False,False,False,0.0478120749223401
113,False,False,False,False,0.0682756785631638
114,False,False,False,False,-0.0147885279931716
115,False,False,False,False,-0.0591257855725479
116,False,False,False,False,0.2376617843893858
117,False,False,False,False,0.0075746859288699
118,True,True,True,False,0.9994976374888992
119,True,True,False,False,0.570145937475455
120,False,False,False,False,0.0180480898612175
121,False,False,False,False,0.1071984923164198
122,False,False,False,False,0.4222915700887957
123,True,False,False,False,0.8600753993557764
124,False,False,False,False,0.0189603496815417
125,False,False,False,False,0.0367989618960989
126,False,False,False,False,0.3369790449581169
127,False,False,False,False,0.0167429217005456
128,False,False,False,False,0.3514229574224248
129,True,False,False,False,0.5052330441680127
130,True,True,True,False,0.9994976374888992
131,True,False,False,False,1.0034682955995218
132,True,False,False,False,1.0390261924583597
133,False,False,False,False,0.1686576821037741
