,AF,CF,MF,ctrl,max_s
0,False,False,False,False,0.1725091642891855
1,False,False,False,False,0.0145770168574383
2,False,False,False,False,0.1198048083205188
3,False,False,False,False,0.1397755512118954
4,True,True,False,False,2.1661574361447964
5,True,False,False,False,0.542655016064678
6,True,True,True,False,1.4892696055535866
7,False,False,False,False,0.0622785355830747
8,True,True,False,False,1.6798842313294042
9,True,False,False,False,0.6547339408266174
10,False,False,False,False,0.0504634229786029
11,True,True,True,False,0.70111689183528
12,True,True,True,False,1.659683270948729
13,False,False,False,False,0.0852365291618971
14,True,True,True,False,2.0184357510288784
15,True,True,True,False,0.9684914019467912
16,False,False,False,False,0.0111230600519759
17,False,False,False,False,0.2498644662638822
18,False,False,False,False,0.0543438749706464
19,False,False,False,False,0.0599224821972513
20,False,False,False,False,0.3499690651563192
21,False,False,False,False,0.0361411880836982
22,False,False,False,False,0.0793541554560675
23,True,True,True,False,2.931298792574699
24,False,False,False,False,-0.0430109260025995
25,False,False,False,False,0.1452126518317597
26,False,False,False,False,-0.1018696641519676
27,False,False,False,False,0.0914494295524415
28,False,False,False,False,0.2336919554043558
29,False,False,False,False,0.1267466655921234
30,False,False,False,False,0.0241481201449591
31,False,False,False,False,0.1128536847478769
32,True,False,False,False,0.4164710659323085
33,True,True,True,False,0.5888152350761602
34,True,True,True,False,0.7030759192392334
35,False,False,False,False,0.1792284822021591
36,False,False,False,False,0.1033966976114777
37,True,False,False,False,0.2287267506931759
38,False,False,False,False,0.1149414273900946
39,True,True,True,False,1.2619319507496236
40,False,False,False,False,0.065648030829112
41,True,True,True,False,1.7717712411629412
42,False,False,False,False,0.225362809568055
43,True,True,True,False,2.675588698071796
44,True,True,True,False,3.224500383218764
45,True,True,True,False,2.898007220542361
46,True,False,False,False,0.8213039040754112
47,False,False,False,False,0.1533329445278623
48,True,True,True,False,1.947986456164384
49,True,True,True,False,3.000352625357691
50,True,True,True,False,2.511240562829631
51,True,False,False,False,1.99209717991222
52,True,True,True,False,1.1255840143056146
53,False,False,False,False,0.2091048528684042
54,False,False,False,False,0.3983287465444474
55,False,False,False,False,0.1169087290015277
56,False,True,False,False,0.8001308322262922
57,False,False,False,False,0.1646136134572068
58,True,True,True,False,2.0114423627901927
59,True,True,True,False,3.2314691163852984
60,False,False,False,False,0.350166461381997
61,True,True,False,False,0.8151844799972985
62,True,True,False,False,0.8572332153632769
63,False,True,True,False,1.4271890977944994
64,True,True,True,False,2.405251015066946
65,True,True,False,False,0.5266820371880835
66,True,True,False,False,3.1309263705957093
67,False,False,False,False,0.2105771659686581
68,False,False,False,False,0.2169278883851095
69,False,False,False,False,-0.0129503337707123
70,True,True,True,False,1.6922573559240042
71,False,False,False,False,0.1047823776468316
72,False,False,False,False,0.0728759786148684
73,False,True,False,False,0.4339445164269935
74,False,False,False,False,0.2323867729487697
75,True,True,True,False,1.0232096778901252
76,False,False,False,False,0.0950110829096428
77,False,False,False,False,0.0979623767382331
78,False,False,False,False,0.2279557508051057
79,True,True,True,False,0.9684914019467912
80,True,False,True,False,2.256115040580578
81,False,True,False,False,1.996027477713609
82,False,True,False,False,1.9678379162650768
83,False,False,False,False,0.1218379569485575
84,True,True,True,False,3.231667824881164
85,False,False,False,False,0.1340495111357291
86,True,False,False,False,0.5873033726141862
87,True,True,False,False,1.835133178123384
88,False,False,False,False,0.2526255218093455
89,False,False,False,False,0.0905580815896846
90,True,True,True,False,2.494943698619838
91,True,False,True,False,2.30504051877616
92,False,False,False,False,0.0714591609170031
93,False,False,False,False,0.05962417943419
94,True,True,True,False,1.2607389938301796
95,True,True,True,False,2.292448264561588
96,True,True,True,False,2.8272404428613256
97,True,True,False,False,1.4467734392800913
98,True,True,True,False,2.74120967738582
99,True,True,True,False,2.0582799787327413
100,False,False,False,False,0.1366462542333292
101,False,False,False,False,0.1963381005993948
102,False,False,False,False,0.1192867745792408
103,False,False,False,False,0.095584662522458
104,False,False,False,False,0.1325699159096795
105,False,False,False,False,0.161115568509794
106,False,False,False,False,0.331539351796862
107,True,False,False,False,0.8634632351367284
108,False,False,False,False,0.1054391161067132
109,False,False,False,False,0.0687357289487159
110,False,False,False,False,0.0829813114971681
111,False,False,False,False,0.2454493203453902
112,False,False,False,False,0.0774621183861913
113,False,False,False,False,0.0177685234833062
114,True,False,False,False,0.3150067714962972
115,False,False,False,False,0.3376703306204469
116,True,True,True,False,0.7730798529307457
117,True,False,False,False,0.91526701545351
118,True,True,True,False,1.1027545458435295
119,False,False,False,False,0.1000927354390334
120,True,True,True,False,0.7763395230257336
121,False,False,False,False,0.172856332823407
