,AF,CF,dox,MF,ctrl,max_s
0,True,True,False,True,False,0.5573259809526605
1,False,False,False,False,False,-0.0237769203332938
2,False,False,False,False,False,0.0987475735307585
3,False,True,False,False,False,0.5028759956832249
4,False,True,False,True,False,1.482544601341271
5,False,True,False,True,False,0.5652472642943662
6,False,False,False,False,False,0.0477349426014995
7,False,True,False,True,False,0.5071595223472439
8,False,True,False,True,False,1.01849752285416
9,False,False,False,False,False,0.1921320012066762
10,True,True,False,True,False,2.0473027640035264
11,False,False,False,True,False,0.283938230600548
12,False,False,False,False,False,0.3128110861410599
13,False,False,False,True,False,0.4461835238556667
14,False,False,False,False,False,0.0052183791156086
15,False,False,False,False,False,0.00463358296705
16,False,False,False,False,False,0.0050371903552384
17,True,True,False,True,False,1.7636584032993197
18,False,False,False,False,False,0.000454431544372
19,True,False,False,False,False,0.5750827404773449
20,False,False,False,False,False,0.20121621511421
21,False,False,False,False,False,0.011348761027736
22,False,False,False,False,False,0.2311904353759178
23,False,False,False,False,False,-0.0015292970223748
24,False,False,False,False,False,0.0030686908298384
25,False,False,False,False,False,0.0061185661446936
26,False,False,False,False,False,0.1638900000694148
27,False,False,False,False,False,0.4477836581262664
28,False,False,False,False,False,0.0043181582442702
29,False,False,False,False,False,0.0176945996331827
30,False,False,False,False,False,0.0393734660936429
31,False,False,False,False,False,0.0701155407385312
32,False,False,False,False,False,0.3402589065054726
33,False,False,False,False,False,0.2278775346745952
34,True,True,False,True,False,1.1826274714117928
35,False,False,False,True,False,0.425586889971959
36,False,False,False,False,False,-0.0028882356414465
37,False,False,False,False,False,0.0498707797319679
38,False,False,False,False,False,-0.0137175837778697
39,False,False,False,False,False,0.1546418285241091
40,False,False,False,False,False,-0.0645836937935348
41,True,True,False,True,False,1.215793311317064
42,False,False,False,True,False,0.2938639720179258
43,False,False,False,True,False,1.2717518776736547
44,True,True,False,True,False,1.3487615174465537
45,False,False,False,False,False,0.0004190350843296
46,False,False,False,False,False,0.018844564749183
47,False,False,False,False,False,0.2190168970405728
48,False,False,False,False,False,0.0006061013849844
49,True,True,False,True,False,1.908697039899288
50,False,False,False,False,False,0.0160204934730069
51,False,True,False,True,False,0.4740510762779628
52,False,False,False,False,False,0.0413810061551518
53,False,True,False,True,False,0.6623455038388172
54,False,False,False,True,False,0.2565035057851055
55,False,False,False,False,False,0.2121786127017947
56,False,True,False,False,False,0.3306143965053967
57,True,True,False,True,False,1.225343465911748
58,True,True,False,True,False,1.572284507028959
59,False,False,False,False,False,0.0171331798702457
60,False,False,False,False,False,-0.0070633067957178
61,False,True,False,False,False,0.4026577821368874
62,False,True,False,True,False,1.8165447174619265
63,False,False,False,False,False,0.1444956287516005
64,False,False,False,False,False,0.1477032419944234
65,True,True,False,True,False,1.7573826697329773
66,False,False,False,False,False,-0.0050972575694449
67,False,False,False,False,False,0.0929856879347601
68,False,False,False,False,False,0.1140861581175697
69,False,False,False,False,False,0.0221050109463709
70,False,False,False,False,False,0.0172041701344552
71,False,False,False,False,False,0.014190345301361
72,False,False,False,False,False,0.0663056244072068
73,False,False,False,False,False,-0.0057256599105873
74,False,False,False,False,False,0.0042870108074783
75,False,False,False,False,False,0.0031160923497805
76,False,False,False,False,False,-0.0181104743229609
77,False,True,False,True,False,1.512703611833592
78,True,True,False,True,False,0.6053820354140367
79,False,False,False,False,False,0.032606537665711
80,False,False,False,False,False,0.0395238520276203
81,False,False,False,False,False,-0.0335797097954645
82,False,True,False,True,False,0.7550160470403982
83,True,False,False,True,False,1.4914193675304908
84,False,True,False,True,False,1.0861317086344855
85,False,True,False,True,False,1.1047453549618094
86,False,False,False,False,False,0.1712305162376806
87,True,True,False,True,False,1.664798500986157
88,False,False,False,False,False,0.008435660148892
89,False,False,False,True,False,0.4480115893133065
90,False,True,False,True,False,1.114622230093267
91,True,True,False,False,False,0.5057540873860158
92,False,True,False,True,False,1.5312657731105066
93,True,True,False,True,False,2.1124062704405957
94,False,False,False,False,False,0.1893189385579401
95,False,False,False,False,False,0.0059264683227881
96,True,True,False,True,False,1.3082783436214611
97,True,False,False,True,False,1.6391113637116703
98,False,False,False,False,False,0.0070127031593875
99,False,False,False,False,False,0.1182431638439017
100,True,True,False,True,False,1.4147884591870414
101,False,False,False,True,False,0.4549730672701551
102,False,False,False,False,False,-0.0120637020162316
103,True,True,False,True,False,2.396385861976836
104,True,True,False,True,False,1.642696999897766
105,False,False,False,False,False,0.0025024217309868
106,False,False,False,False,False,0.040304410475216
107,False,False,False,False,False,0.2001487289094922
108,False,False,False,False,False,-0.0050637305623422
109,False,False,False,False,False,0.081059463048639
110,False,False,False,False,False,-0.0107946612969081
111,False,False,False,False,False,0.2190168970405728
112,True,True,False,True,False,1.3092784398197526
113,False,False,False,False,False,0.0199646315716527
114,False,True,False,True,False,0.500437872994679
115,False,False,False,False,False,0.0004506355113187
116,False,False,False,False,False,-0.002167037305388
117,False,False,False,False,False,-0.0133163717788171
118,False,False,False,False,False,0.0013624934468931
119,False,False,False,False,False,0.0117818825675597
120,False,False,False,False,False,0.0464631505118761
121,False,True,False,True,False,0.3619328450053479
122,False,False,False,False,False,0.0166624003794642
123,False,False,False,False,False,0.265008001497668
124,False,False,False,False,False,0.0159310886210616
