y_test,y_pred
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
sensitive,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
sensitive,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,sensitive
resistant,resistant
resistant,resistant
sensitive,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
sensitive,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
